strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
6065.0,0.0,0.0,0.0,0.0,0.0,54.0,-1081112.753867642,-6476.260380502414,200408.99644608644,43560.72940619635,-1081112.753867642,-6476.260380502414,200408.99644608644,43560.72940619635,
6070.0,0.0,0.0,0.0,0.0,0.0,429.0,-138985093.52828178,-2980824.436458396,34288092.43107635,905626.7817354002,-138985093.52828178,-2980824.436458396,34288092.43107635,905626.7817354002,
6075.0,2.0,1918577.4565579959,1261457.2833521592,-369735.5607092782,-18322.06810027451,14634.0,-10631498559.986658,-231556124.87706128,2616914863.6797314,58898943.211655036,-10629579982.5301,-230294667.5937091,2616545128.119022,58880621.14355476,
6080.0,2.0,524004.52281950857,1310047.4225107806,-71884.14101729165,-20417.89078167095,395.0,-128814387.58335067,-2769143.958793532,31297372.89377152,834370.5296162147,-128290383.06053117,-1459096.5362827515,31225488.75275423,813952.6388345438,
6085.0,0.0,0.0,0.0,0.0,0.0,245.0,-5386560.019942456,-31216.852766781696,994269.9827526746,208221.32271549504,-5386560.019942456,-31216.852766781696,994269.9827526746,208221.32271549504,
6090.0,2.0,477619.3381325324,1310773.7319735189,-66789.63611931754,-18226.201302546237,292.0,-121116768.80130893,-2613428.5416579535,29107929.205164094,746413.5679467028,-120639149.4631764,-1302654.8096844347,29041139.569044776,728187.3666441566,
6095.0,0.0,0.0,0.0,0.0,0.0,231.0,-6228534.583574378,-36418.868667296185,1131307.5365672675,235662.57107703827,-6228534.583574378,-36418.868667296185,1131307.5365672675,235662.57107703827,
6100.0,5019.0,1586158163.8933375,3284331232.7175684,-214074268.5024224,-58433886.97766699,39726.0,-23094352123.750137,-453252293.199013,5535328030.155328,144559114.27645805,-21508193959.8568,2831078939.5185556,5321253761.652905,86125227.29879107,7.915122534369396
6105.0,0.0,0.0,0.0,0.0,0.0,110.0,-3111907.403807936,-17882.01419505123,563959.1271871913,115205.4776124375,-3111907.403807936,-17882.01419505123,563959.1271871913,115205.4776124375,
6110.0,0.0,0.0,0.0,0.0,0.0,388.0,-163348872.00469422,-3529795.721616581,38107484.69369895,991529.1001949747,-163348872.00469422,-3529795.721616581,38107484.69369895,991529.1001949747,
